C1	22.81	4.57	90.00	100nf	C0805K
C2	21.83	31.78	0.00	100	153CLV-0605
C4	13.20	31.80	180.00	100	153CLV-0605
C6	7.18	5.02	180.00	100	153CLV-0605
C7	16.78	5.02	180.00	100	153CLV-0605
D1	5.34	23.17	90.00	ES2D	SMB
IC1	13.77	13.53	270.00	7805DT	TO252
Q1	46.80	15.60	180.00	BSS138	SOT23-3
R1	22.69	19.53	270.00	10k	R1206
R12	8.40	44.40	180.00	10k	R1206
R13	8.23	40.10	270.00	10k	R1206
R14	27.60	40.70	270.00	1k	R1206
R15	13.75	44.42	180.00	10k	R1206
R2	5.33	16.60	270.00		R1206
R3	51.21	12.77	90.00	10k	R1206
R4	51.16	24.76	270.00	10k	R1206
R5	47.74	24.76	270.00	10k	R1206
R8	45.65	24.76	270.00	10k	R1206
R9	22.73	9.27	270.00	10k	R1206
RTD	46.80	42.00	90.00		M0805
U1	34.39	18.08	180.00		ESP12-SMD
U2	13.80	40.20	0.00	LM358DR	LM358DR
U3	12.60	22.80	270.00	AMS1117-3.3	SOT229P700X180-4N
